name,phone,address,website,rating,user_ratings_total
"Rose Island Real Estate","02 444 2774","Al Zubara Bldg. - Unit 204 Flr, Al Salam Street - Abu Dhabi - United Arab Emirates","http://www.roseislandre.com/",4.4,145
"Gravity Real Estate","02 671 9404","Addax Office Tower - Office 1510 - 1512 - Al Reem Island - Tamouh - Abu Dhabi - United Arab Emirates","http://www.gravity-re.com/",4.5,428
"NAS Luxury Real Estate LLC","02 627 3667","Office 101 And 102, 1st Floor, MAJ Offices - Building 6 شارع الهَايْلة - Abu Dhabi - United Arab Emirates","http://www.nasluxury.com/",4.9,1219
"District Real Estate - Abu Dhabi","02 445 1533","Eastern Rd - Al Nahyan - E25 - Abu Dhabi - United Arab Emirates","http://www.districtuae.com/",4.7,34
"Henry Wiltshire International - Abu Dhabi","056 484 3380","Aldar headquarters building - Al Rahah - RBW11 - Abu Dhabi - United Arab Emirates","https://www.henrywiltshire.ae/",4.9,192
"Al Mira Real Estate","02 546 2666","4 شارع اليَعْقِيد - Al Danah - E11 - Abu Dhabi - United Arab Emirates","https://www.almiraproperties.com/",4.7,302
"The Capital Avenue Real Estate","050 502 6788","Al Sahel Towers, Block B - Floor MZ - Abu Dhabi - United Arab Emirates","https://thecapitalavenue.com/",4.9,418
"I Buy Real Estate","056 403 2155","Bloom Soho square, G09 - Al Saadiyat Island - SDW4 - Abu Dhabi - United Arab Emirates","http://www.ibuyrealestate.ae/",4.9,27
"Sand Seekers Real Estate LLC","02 627 7156","Commercial Tower A - Office 2202 - Building C-88 Electra Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates","https://sandseekers.ae/",4.9,236
"Providential Properties Management Abu Dhabi","800 786000","Al Mariah Tower - 201 Airport Rd - opposite to Purelab HQ - Al Manhal - W15 02 - Abu Dhabi - United Arab Emirates","https://providentialproperties.ae/",4.8,132
"La Maison Real Estate L.L.C","050 255 3641","Al Najdah Street - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates","http://www.lamaison-re.com/",4.9,82
"Miramar Real Estate Management LTD","02 444 4360","Al Reem Island - Shams Abu Dhabi - Abu Dhabi - United Arab Emirates","https://www.miramar-uae.com/",4.5,376
"Sky Land Middle East Properties LLC OPC","056 460 7060","Sama Tower - Office No. 104 , 1st - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates","http://skyland.ae/",4.9,120
"Savills Abu Dhabi","02 441 1225","Blue Sky Tower - 12th Floor - Al Rawdah - W59 01 - Abu Dhabi - United Arab Emirates","http://abudhabi.savills.ae/",4.1,128
"MD Real Estate LLC","02 642 9875","MD Real Estate Office, Building H - Khalifa City - Al Forsan Village - Abu Dhabi - United Arab Emirates","https://mduae.net/",4.8,81
"Republik Real Estate","02 443 8140","Addax Tower - Office 4504 - Al Reem Island - Tamouh - Abu Dhabi - United Arab Emirates","http://www.rpublik.com/",4.4,66
"Vierra Property Broker LLC - Branch of Abu Dhabi","800 876","ADCP Tower C - 1101 - Electra Road - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates","https://www.vpd.ae/",4.9,68
"Reign Real Estate","052 936 3600","Suite #1803, 18th Floor, Business Tower D Electra Street - Abu Dhabi - United Arab Emirates","https://reignestates.com/",4.5,391
"Crompton Partners Estate Agents Abu Dhabi","02 441 7780","Zayed Sports City - Al Rawdah - W57 - Abu Dhabi - United Arab Emirates","https://cromptonpartners.com/",4.8,336
"betterhomes","600 522233","GA4, Block A - Al Zeina - Abu Dhabi - United Arab Emirates","https://www.bhomes.com/",4.6,346
"Property Shop Investment (PSI) Assets","02 513 9100","Reem island, The Arc Tower - Al Reem Island - Shams Abu Dhabi - Abu Dhabi - United Arab Emirates","https://psinv.net/",4.9,152
"Oia Properties - Head Office","02 444 0089","45 شارع الحِمْرَار - Al Sa`Adah - Zone 1 - Abu Dhabi - United Arab Emirates","https://www.oiaproperties.com/",4.3,124
"Property Shop Investment (PSI) Head Office","02 205 2999","Addax Office Tower - Office No 4410 - Al Reem Island - Tamouh - Abu Dhabi - United Arab Emirates","https://psinv.net/",4.9,139
"Arabesco","800 119","Arabesco Tower - Office M4, O Floor - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates","http://www.arabesco.ae/",4.8,1203
"Fine Home Real Estate","02 659 2300","3706-Addax Office Tower - Al Reem Island - Abu Dhabi - United Arab Emirates","https://finehomeint.com/",4.1,62
"H2O Real Estate Management LLC","050 341 6102","Salam HQ Building - Al - 11th Floor - Sheikh Zayed Bin Sultan St - Al Zahiyah - E16 01 - Abu Dhabi - United Arab Emirates","https://www.h2o-properties.ae/",4.8,30
"Island Falcon Property Management","02 622 9974","Zayed The First St - Al Bateen - W10 - Abu Dhabi - United Arab Emirates","https://www.ifpm.ae/",3.9,75
"Whitewill Abu Dhabi","052 409 9188","Al Reem Island Sky Tower, Office 1008 - Abu Dhabi - United Arab Emirates","http://whitewill.ae/",4.7,12
"Deyaar Development PJSC (Abu Dhabi Branch)","02 635 3000","PLAZA 30 - 2A-SF - Abu Dhabi - United Arab Emirates","http://www.deyaar.ae/",4.1,311
"XIS Real Estate - Premier Real Estate Agency in Abu Dhabi","056 570 0722","Al Reem Island - Najmat Abu Dhabi - Abu Dhabi - United Arab Emirates","https://www.xisrealestate.com/",4.8,21
