name,phone,address,website,rating,user_ratings_total
"ALTAN EMLAK","0530 933 13 14","Tuzluçayır, Abidin Aktaş Sk. 6/C, Mamak","https://altanemlakk.sahibinden.com/",5,103
"RE/MAX Ankara Çankaya Emlak Gayrimenkul Ofisi","(0312) 985 02 95","Gaziosmanpaşa, Nenehatun Cd No:124 D:4A, Çankaya","https://www.remaxerhanyilmaz.com/",4.9,130
"ÇAĞNES GAYRİMENKUL","0532 386 71 25","Göktürk, Seyran Cd. No:78, Çankaya","",4.9,222
"MARTI CEBECİ EMLAK","0532 282 43 99","Cebeci, Yeni Ankara Sk. No:27/B, Çankaya","https://marticebeciemlak.sahibinden.com/",4.9,121
"Kuzey Emlak - Bahattin Güney","0535 830 28 72","Gazi, Şenol Cd. 22 / 6, Yenimahalle","",4.8,110
"Fora Emlak","0535 526 29 22","Tınaztepe, Yaprak Sokaği 49/B, Çankaya","",4.9,162
"Göral Emlak Dikmen","(0312) 476 27 26","Sokullu Mehmet Paşa, Sokullu Mehmet Paşa Cd. No:56B, Çankaya","",5,45
"DOĞUŞ BEY GAYRİMENKUL","0538 602 86 25","Balkiraz, Sakinler Sk. 12/A, Mamak","",4.9,376
"AHMET YALÇIN GAYRİMENKUL YATIRIM OFİSİ","(0312) 472 72 47","Huzur, 1066. Cadde No:23/A, Çankaya","",4.9,264
"Ayrancı Güleryüz Emlak Danışmanlık","0543 346 17 07","Ayrancı, Elçi Sokağı 17/D, Çankaya","",5,112
"HAFIZOĞLU EMLAK","0555 537 21 42","D.bahçe mahallesi, Uzgörenler Sk. No: 25/D, Mamak","http://planet.port724.net/1qehy12vzzpa3c4au3nq",5,10
"HF Group FAKIOĞLU / Merkez Emlak","0532 768 50 62","Balgat, 1413. Sk. 1/1, Çankaya","https://www.hepsiemlak.com/emlak-ofisi/hf-group-fakioglu-merkez-emlak-28250",5,78
"Barsam Real Estate","(0312) 419 99 05","Esatoğlu, Esat Cd. 85/3, Çankaya","https://www.hepsiemlak.com/emlak-ofisi/borse-kucukesat-8790?campaignid=20161232326&adgroupid&adid&gclid=Cj0KCQjwk96lBhDHARIsAEKO4xaUs8FsA33iNf0AqlbjeFmyul1C20G3BkmnoD0veM4sk1ggLXJKvaQaArWiEALw_wcB",4.9,33
"YÜCEL EMLAK OFİSİ - FAKIOĞLU MFO GRUP","0536 584 33 48","Balgat Mahallesi Ceyhun Atuf Kansu Cd. &, Oğuzlar, 1384. Sk. 5/D, Çankaya","https://www.hurriyetemlak.com/emlak-ofisi/yucel-emlak-ofisi-17197",4.8,50
"FADEN EMLAK","0543 926 43 75","Erzurum, Soysal Sk. 7/A, Çankaya","",4.9,43
"Bayindir Emlak","(0312) 365 40 50","Akdere, 356. Cd. No:20 D:B, Mamak","https://bayindiremlakk.sahibinden.com/",4.9,110
"AREL EMLAK","(0312) 212 99 33","BAHÇELİEVLER MAH.TAŞKENT CADDESİ 36/C ÇANKAYA/ANKARA YÜCETEPE MH.AKDENİZ CD.39/1 ŞB, Çankaya","http://www.arelemlakankara.sahibinden.com/",4.9,73
"Kayalılar Emlak","0530 644 44 64","Çamlıtepe, Dede Efendi Cd. No:68, Çankaya","",4.6,10
"Çağdaş Emlak Yatırım Hizmetleri","0535 212 08 75","Kızılay, Mithatpaşa Cd. No: 47.6, Çankaya","http://www.cagdasyatirim.com.tr/",4.9,54
"Anadolu Emlak","(0312) 222 03 24","Prof Dr, Prof. Muammer Aksoy Cd no: 62, Çankaya","http://www.anadoluemlak.com.tr/",4.6,286
"Taşcı Emlak","(0312) 417 03 04","Kızılay, Şht. Adem Yavuz Sk. No:3 D:3, Çankaya","https://tasciemlakankara.sahibinden.com/",4.6,13
"Kartal Emlak","0552 546 46 00","Kırkkonaklar, 329. Cadde 29/D, Çankaya","",5,14
"BİRCAN PROPERTY","0552 223 62 23","Mh FARUK EKİN KARŞISI, Yukarı Bahçelievler, Aşkabat Cd. 37/2, Çankaya","http://www.bircanemlak.com.tr/",4.7,93
"Birkan Emlak","0532 383 01 10","Harbiye, Hürriyet Cd. No:44, Çankaya","http://sahibinden.com/",4.7,18
"Missi Emlak","","Fakülteler, Cemal Gürsel Cad. No:86, Çankaya","",5,41
"Ankara Çankaya Ayrancı Hoşdere Emlakçı - Remax Gayrimenkul Danışmanı - Ev Sat - Ev Kirala - Zilan Maskan","0507 440 94 42","Defne apartmanı, Ayrancı, Hoşdere Cd., Çankaya","https://www.zilanremaxemlak.com.tr/",4.9,42
"DİZAYN EMLAK & GAYRİMENKUL","0554 148 29 19","Kırkkonaklar, Şemsettin Günaltay Cd. 255/B, Çankaya","https://www.hepsiemlak.com/emlak-ofisi/dizayn-emlak-gayrimenkul-50790",4.8,28
"Çiçek Emlak","(0312) 223 91 37","Emek Mahallesi, 25. Sokak & Bişkek Caddesi 25/A, Çankaya","http://www.hurriyetemlak.com/cicek-emlak/tanimsiz/emlak-ofisleri/8VtmuNdHasA=/DjCVhESiNJk=&new=1",5,10
"TAŞ İNŞAAT TADİLAT VE EMLAK OFİSİ","(0312) 804 62 51","İleri, 2. Dede Efendi Cad. 42/B, KurtuluşÇankaya/Çankaya","",5,2
"M.Selçuk Emlak","0535 294 00 19","Aşıkpaşa, Vedat Dalokay Cd. No:69, Çankaya","https://www.hurriyetemlak.com/emlak-ofisi/m.selcuk-emlak-23233",5,4
"BERSAN EMLAK-ilknur Çelik","0539 503 28 85","Yücetepe, Ordular Sk. No:7, Çankaya","",4.1,44
"Ankara Remax Emlak Uzman Gayrimenkul Danışmanlığı","0507 440 94 42","Güvenevler, Güvenlik Cd. no:89/A, Çankaya","",5,27
"Er Emlak","(0312) 223 99 99","Bahçelievler, 35. Cadde, Çankaya","http://www.eremlak.com.tr/",4.6,52
"Borsem Kuleli Gaziosmanpaşa Çankaya","(0312) 447 00 90","Kazım Özalp, Kuleli Sokağı No:89, Çankaya","https://www.hurriyetemlak.com/emlak-ofisi/borsem-kuleli-temsilciligi-4537",3.4,14
"Taci Emlak Çankaya Küçükesat Seyranbağları Ankara","0555 990 23 70","Seyranbağları, Bağlar Cd. No:104, Çankaya","http://www.taciemlak.com/",4.7,32
"Alber Emlak","0532 525 51 57","GÜVENEVLER MAHALLESİ KUVEYT CADDESİ.17/1 AŞAĞI, Ayrancı, Çankaya","http://www.alberemlak.com/",4.2,73
"Mevsim Emlak","(0312) 427 37 73","Ayrancı, Meneviş Sk. No:27, Çankaya","https://www.hurriyetemlak.com/emlak-ofisi/mevsim-emlak-53653",4.9,134
"BU İLK GAYRİMENKUL","0532 158 62 33","Bahçelievler, Yeni 44.Sk No :19 D:B, Çankaya","",4.9,64
"Çayır Emlak","0530 324 06 80","3,, Fakülteler, Kutlugün Cd. No:16, Çankaya","http://cayiremlak06.sahibinden.com/",3.9,35
"ANKARA GARDEN GAYRİMENKUL","0536 435 48 55","Bahçelievler, 49. Sk. No:10/B, Çankaya","",4.7,35
"Çankaya Emlakçı RE/MAX DENİZ Emlak Ofisi","(0312) 446 46 40","Gaziosmanpaşa, Nenehatun Cd No:124 No:4, Çankaya","https://www.remaxdeniz.com/",4,115
"Mebusevleri As Emlak","0505 646 17 23","Mebusevleri, Önder Cd. 14-1, Çankaya","http://www.mebusevleriasemlak.com/",4.5,8
"MERKEZ EMLAK GULVEREN","(0312) 319 58 84","Gülveren, 73.Cadde No:25 D:E, Mamak","https://merkezemlakmamak.sahibinden.com/",4.4,30
"PASHA REAL ESTATE","0542 767 67 22","Abidinpaşa, Balkiraz, Esenler Sk. no:27, Mamak","",4.8,119
"Hocanım Emlak","(0312) 439 92 92","Cinnah Caddesi 114/7, Cinnah Cd. No:114 D:7, Çankaya","",4.5,8
"Gayem Emlak","0541 887 84 83","Zübeyde Hanım, Sarma Sk. 30/A, Altındağ","",5,6
"Bağlar Emlak Danışmanlık","0552 692 80 81","Küçükesat, Bağlayan Sk. 31/A, Çankaya","",5,3
"Emek Özdemir Emlak","(0312) 213 97 74","Emek, Şht. Meryem Yılmaztürk Cd. No:5/A, Çankaya","http://www.ozdemiremlak.com/",4.3,32
"Fikret Bey Emlak","0532 510 56 37","ömür apt, Cebeci, Tellikaya Sk. no:11/A, Çankaya","",4,22
"Poyraz emlak","0542 580 52 21","Saimekadın, Cami Sk. No:7, Mamak","",4.6,16
"Barış Emlak Anıttepe","0532 732 66 88","Anıttepe, Eti, Gazi Mustafa Kemal Blv. 114-13, Çankaya","",4.1,13
"Adil Selim Emlak","0535 553 47 68","Esat Cad. Esatoğlu Mah, Küçükesat, Bağlayan Sk. No:19/C, Çankaya","http://adilselimemlak.com/",4.7,13
"ÖZİPEK EMLAK OFİSİ","(0312) 368 08 10","Aşıkpaşa, Vedat Dalokay Cd. NO:40/B, Çankaya","",5,11
"Atik Emlak","(0312) 365 05 65","Aşıkpaşa, Vedat Dalokay Cd. 13a, Çankaya","http://atikemlak.biz/",5,1
"TEM EMLAK OFİSİ","(0312) 417 70 30","Kavaklıdere mah Esat Cad. Sirkecioğullar İş Merkezi, No:67/43, Çankaya","",4.2,9
"YILDIRIM EMLAK","0535 553 80 90","A, Çankaya Mahallesi, Bağlar Caddesi, Çankaya","",4.4,31
"ATAK EMLAK OFİSİ","(0312) 466 68 37","Güvenevler, Ayrancı, Yeşilyurt Sk. 21/C A, Çankaya","",3.9,8
"DOĞAN EMLAK SOKULLU DİKMEN","0532 647 32 18","B, Sokullu Mehmet Paşa, Sokullu Mehmet Paşa Cd. No:84, Çankaya","http://www.hurriyetemlak.com/dogan-emlaksokullu/konut-satilik/ankara-cankaya-sokullu-mehmet-pasa/emlak-ofisleri-ilanlari?&sParam=nyyuhHfuFKg=&sType=9wZEBZ-ivFgmrA3ENMCIfQ==&ListIsBig=qh.BgsUoTK4=&sortType=GmMGgVD5Wcc=&pageSize=GmMGgVD5Wcc=&new=1",3.9,23
"Filiz Emlak","(0312) 222 44 13","Emek, 19. Sk. no:92/b, Çankaya","",4.5,17
"Cemax Emlak İnşaat Turizm Tic.Ltd.Şti.","(0312) 365 51 51","Balkiraz Mahallesi Mamak Caddesi 54/AZafer Apartmanı No:, Mamak","",4.3,33
"ÖZKARDEŞLER PROPERTY","(0312) 321 73 21","Etlik, Etlik Cd No:186, Keçiören","http://ozkardesleremlakgayrimenkul.com/",4.9,1172
"Solfasol Çavuş Emlak HASAN ÇAVUŞ","0536 223 06 08","Solfasol, Hacı Bayram Veli Cd. No:103, Altındağ","",4.9,25
"UZMAN EMLAK","(0312) 352 50 20","İncirli, Refik Saydam Cd. No:4/C, Keçiören","",4.9,199
"7 EMLAK GAYRİMENKUL DANIŞMANLIĞI","(0312) 325 11 00","Etlik, Etlik Cd NO:138, Keçiören","http://www.7emlak.com.tr/",4.8,86
"Fikirli Emlak","0535 620 51 56","Karargahtepe, Sanatoryum Cd. No:71-A, Keçiören","https://www.sahibinden.com/emlak/ankara-kecioren-kalaba-kalaba-mah.",4.8,128
"KuzeyKent Uzman Emlak","0532 359 66 76","Reyhan Camii, Baraj, Çağrıbey Cd Altı C Blok No:3, Altındağ","https://kuzeykentuzman.sahibinden.com/",4.8,114
"Serhat Emlak Ofisi","(0312) 318 26 48","Aydınlıkevler, Şht. Mustafa Baş Cd. No:56 B D:C, Altındağ","http://serhatemlak.com.tr/",4.7,57
"Oğul Emlak Gayrimenkul Yıldıztepe Mah. No:187/B","0554 154 07 78","Hasköy, Yıldıztepe, Celal Esat Arseven Cd. No:187 B/D, Altındağ","",4.8,54
"Güvenoğlu Emlak Ofisi","0542 134 54 74","Etlik, Ayvalı Cd. 60/A, Keçiören","",4.8,51
"Hedef Emlak Hasköy Güneşevler","0537 480 84 80","Yıldıztepe, Celal Esat Arseven Cd. No:307/A, Altındağ","https://www.sahibinden.com/emlak-konut?query_text_mf=hedef+emlak+hask%C3%B6y&query_text=hedef+hask%C3%B6y",4.6,29
"Servet Emlak","(0312) 314 09 09","Tepebaşı, Mustafa Asım Köksal Cd. 19-A, Keçiören","",5,13
"TURYAP KEÇİÖREN KURUMSAL EMLAK TEMSİLCİLİĞİ","(0312) 364 77 77","Şenlik, Şht. Tayfun Sümer Sk. 13/D, Keçiören","https://www.turyap.com.tr/ankarakecioren",4.9,215
