name,phone,address,website,rating,user_ratings_total
"Bursa Çağdaş Emlak","(0224) 226 00 44","29/A Akarsu Apt, Yahşibey, 2. Murat Sk., Osmangazi̇","http://www.bursacagdasemlak.com/",5,64
"Pindoli Gayrimenkul","0850 317 7017","Millet, Derya Cd. No: 14 D:1 A, Yıldırım","",4.9,10
"Baris Emlak","(0224) 328 48 56","Karaağaç, İpekçilik Cd. 31/1, Yıldırım","http://www.bursabarisemlak.com/",4.9,75
"Hakim Emlak Ofisi","0534 243 20 35","Maksen Mahallesi, Çinkolu Kahve Sk. Öztürk Apt D:1, Osmangazi/Osmangazi̇","",5,1
"Fatoş Emlak Ofisi","(0224) 234 71 10","Kükürtlü Mahallesi Karagöz Caddesi, Kükürtlü, İşcan 1 Ap No:17, Osmangazi̇","",5,1
"Nidam Emlak","0543 810 41 21","Yeşil, Emirsultan Cd. No:25 D:B, Yıldırım","",4.9,11
"Uğur Yılmaz Emlak","(0224) 221 15 73","Altıparmak, 2. Anadolu Sk. Havuz Ap No: 4/C, Osmangazi̇","http://www.uyturizm.com.tr/",4.9,12
"Bursa Mutlu Emlak","(0224) 234 75 75","Çeyiz, Kükürtlü, 5. Çeyiz Sk. D:Apartmanı 2/A, Osmangazi̇","",4.6,14
"3Dörtgen Emlak Gayrimenkul Danişmanligi","0555 064 87 67","Çırpan, 1. Fırın Sk. no:15A, Osmangazi̇","",5,1
"Kosif Emlak Gayrimenkul Danışmanlığı","0530 873 46 65","Hocaalizade, Konakardı Sk. Petek İşhanı No: 3 Giriş kat, Ofis No: 8, Osmangazi̇","",5,13
"Gurcan Emlak","(0224) 223 30 77","İbrahimpaşa, Gökdere Cd. No:2, Osmangazi̇","http://www.gurcanemlak.com/",4,36
"A1 Emlak Ofisi","0531 906 76 24","Hocahasan, Değirmen Cd. No:14, Osmangazi̇","",4,1
"İnko Gayrimenkul Danışmanlık Hizmetleri","(0224) 223 30 23","Doğanbey Mah Doğanbey Toki Konutları Burçin 3 İş Hanı, Osmangazi̇","https://inkoemlak.sahibinden.com/",4.9,14
"HANOĞULLARI EMLAK OTO","0536 515 87 45","152 Evler, Eğitim Cd. 20/A, Yıldırım","",4,3
"BURSAM EMLAK","(0224) 225 26 47","KAYHAN MAHALLESİ ATATÜRK CADDESİ Kayhan mh Sönmez İŞ SARAYI K:4 D:413 Kayhan mh Sönmez İŞ SARAYI K:4 D:413 Kayhan mh Sönmez İŞ SARAYI K:4, D:413, Osmangazi̇","http://www.bursamemlak.com/",4.5,12
"BURAK YAPI EMLAK","0542 304 04 97","152 Evler, 1. Ferah Sk. No:5, Yıldırım","",5,1
"Mert emlak dekorasyon","0532 412 19 96","Hacı İlyas, 3. Dinç Sk. No:25, Osmangazi̇","",5,3
"Dere Emlak","0544 402 79 82","Uzunoğlu Apt, Namazgah, Çelebi Mehmet Blv. D:4C, Yıldırım","http://dereemlak.sahibinden.com/",5,1
"Ergüç Emlak","(0224) 220 10 16","Namazgah, Işıklar Cd. No:17, Yıldırım","",4.7,12
"Yaşar Emlak","0532 696 44 97","Davutkadı, Teyyareci Mehmet Ali Cd. No:8, Yıldırım","",5,3
