name,phone,address,website,rating,user_ratings_total
"GRAND EMLAK VE ARSA OFİSİ","0551 120 52 21","Bağcılar, EVRİM ALATAŞ CADDESİ ATAŞEHİR 5 SİTESİ NO:36 AD A-BLOK, Bağlar","https://grandgroupp.sahibinden.com/emlak?sorting=date_desc",5,1
"Bedwan emlak ve arsa ofisi","0535 978 22 44","Mezopotamya, 307. Sk. 21 B, Kayapınar","",5,3
"Side Emlak","0532 152 73 29","Petek Pastane Bitişiği, Medya Mah. 100 Sk. Özkayalar 3 Apt. Altı No 1, Diclekent, Kayapınar","https://sideemlak.sahibinden.com/",5,14
"Diyarev Gayrimenkul","0536 706 36 66","Bulut Plaza, Bağcılar, Mehmet Uzun Cd., Bağlar","",4.7,224
"Öztaş Emlak & Arsa Ofisi","","Peyas, Fırat Blv. No:95, Kayapınar","",5,19
"Asya Group Emlak İnş. Ltd. Şti.","0532 628 25 20","4-, Yenişehir, Ali Emri 6. Sk. No:6, Yenişehir","",5,1
"Global Emlak","(0412) 252 61 18","Mezopotamya, Ayşenur Zarakolu Cd. No:24, Kayapınar","",4.2,14
"AKYAPI EMLAK ve ARSA OFİSİ","0532 720 71 48","Peyas, 274. Sk. 9 B Blok D:32, Kayapınar","",4,1
"Mirzanoğlu Emlak ve Arsa Ofisi","0532 652 47 51","Mahabat Bulvarı Özaklar Sitesi C Blok Altı, Kayapınar","",5,3
"KÜÇÜKER GLOBAL EMLAK & İNŞAAT","0533 085 83 82","MIZRAK 13 AP, CEYLANLAR CEŞME DURAĞI DEMİR OK CAMİ YANI MPFLEGE YURT DİŞİ DANIŞMANLIK, Peyas, 475. Sk. NO:9/BF, 21070 Kayapınar, Kayapınar","",5,1
"Kardeşler Emlak Ofisi","","Kaynartepe, 258. Sk. No:21, Bağlar","",5,1
"KARLIDAĞ EMLAK","0536 282 54 13","Fırat, 493. Sk., Kayapınar","",5,2
"Yilmaz Emlak Arsa Ofisi","","Bağcılar, Orhan Doğan Cd, Bağlar","",5,1
"Memdoza Emlak","","Bağcılar, Bağlar","",5,2
"Genç Emlak & Arsa Ofisi","","Bağcılar, Orhan Doğan Cd, Bağlar","",5,1
"MiR EMLAK","0532 432 30 70","Diclekent, 245. Sk. 12 A, Kayapınar","",5,3
"Aydın Zorlu Emlak Broker","(0412) 257 38 51","Yılmaz Güney Caddesi 282.sokak Doğakent Sitesi altı no 6, Kayapınar","",5,2
"Aytekin Emlak","0532 357 62 97","Bağcılar, Bağlar","",4.2,5
"TAHA EMLAK BÜROSU","0533 558 97 36","No:6/C yıldızlar5 apt altı, Peyas, 217. Sk., Kayapınar","https://www.emlakjet.com/",4,3
"Gümüştaş Emlak & Arsa Ofisi","","Bağcılar, Orhan Doğan Cd No:68, Bağlar","",3,1
"Diyar Emlak & Arsa Ofisi","","Fırat, 485. Sk., Kayapınar","",5,1
"Aydoğan Emlak Ofisi","","Bağcılar, Karanfil 10. Cd., Bağlar","",5,1
"YALMANLAR EMLAK ARSA OFiSi","0505 990 87 21","Kaplan City /Ayşenur Zarakolu, 498. Sk., 1, b blok, Kayapınar","","",""
"Şahin Emlak & Arsa Ofisi","","5 Nisan, Bağlar","",5,1
"Ozbal Emlak","0506 948 93 03","Ofis, Kooperatifler, Cahit Sıtkı Tarancı Sk. No:1, Yenişehir","",3.5,6
"Tanrıkulu emlak","","Medya, Kayapınar","",5,1
"Sa-Ha Emlak Ltd.Şti","","Peyas, 227. Sk., Kayapınar","",5,1
"Özgül Emlak","","Peyas, Musa Anter Cd. NO 102, Kayapınar","",5,1
"Start Emlak Bürosu","","Bağcılar, Karanfil 10. Cd., Bağlar","",4.5,2
"EMLAKÇIM GAYRİMENKUL","0533 965 54 65","Özaklar rüyaken, Diclekent, 274. Sk. sitesi Altı, Kayapınar","",5,4
"GÜRELİ GAYRİMENKUL EMLAK ARSA OFİSİ","0539 619 53 73","Fırat, 523. Sk. fidan 7 Apt, Kayapınar","","",""
"Renk Emlak Bürosu","0545 621 21 42","Kooperatifler, Kurt İsmail Paşa 2. Sk., Yenişehir","","",""
"Metropol Emlak","0538 606 31 63","Peyas, Selahattin Eyyubi Blv. 463. Sokak, Kayapınar","",5,2
"Deniz Emlak & Arsa Ofisi","","Bağcılar, Mehmet Uzun Cd., Bağlar","",4,1
"ŞİRİN YAPI EMLAK","0535 353 98 21","D.R SITKI.GURAL.CAD.23.SK.YILDIZ 10APT.ALTI.TİC.NO, Huzurevleri, 23. Sk. 1/A, Kayapınar","",1,1
"Öztürk Gayrimenkul & emlak","","Bağcılar, Bağlar","",5,1
