name,phone,address,website,rating,user_ratings_total
"Equity DXB Real Estate","04 553 5095","Office 1902, Floor 19, Boulevard Plaza Tower 2 - Downtown Dubai - Dubai - United Arab Emirates","https://equitydxb.com/",4.9,128
"Union Square House Real Estate","04 458 9090","Building 6 - Office 202 - Business Bay - Bay Square - Dubai - United Arab Emirates","https://ushre.com/",4.8,381
"Driven Properties LLC - HQ","04 429 7040","Emaar Square Building #3 - 1st Floor - Downtown Dubai - Dubai - United Arab Emirates","https://www.drivenproperties.com/",4.4,1326
"Springfield Properties","04 454 2588","Office 102, 103, 104, 105, 106, Building 02 - Business Bay - Bay Square - Dubai - United Arab Emirates","https://springfieldproperties.ae/",4.9,373
"HAUS 51 REAL ESTATE","058 515 2888","Downtown, Boulevard Plaza Tower 1 - 2602 - Burj Khalifa - Dubai - United Arab Emirates","http://www.haus51.com/",5,62
"D&B Properties","04 871 9200","Blue Bay Tower - 13th floor - Business Bay - Dubai - United Arab Emirates","https://dandbdubai.com/",4.9,3496
"District Real Estate","04 880 0373","Prime Tower - 1512 - Business Bay - Dubai - United Arab Emirates","http://www.districtuae.com/",4.7,54
"Harbor Real Estate Broker LLC","04 325 1616","City Tower 2 - 18th Floor Office - 1803 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","",4.7,1935
"fäm Properties","04 369 1700","Business Bay Bay Square Al Asayel St Building 13 Floor # 3, Office 304 - Dubai - United Arab Emirates","https://famproperties.com/",4.9,14445
"Unique Properties","04 455 8888","Tower, The Bay Gate - 31st Floor - Business Bay - Dubai - United Arab Emirates","https://uniqueproperties.ae/en/",4.7,322
"Downtown Reality Real Estate LLC","04 327 6998","Latifa Tower - Office No - 1501 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://downtownreality.com/",4.6,23
"Christie’s International Real Estate Dubai","04 425 2780","P03, Bay Square 2, Business Bay, Dubai - UAE - Dubai - United Arab Emirates","https://christiesrealestatedubai.com/",4.6,102
"Axis Real Estate Brokerage Dubai","04 572 2298","1908, Westburry Business Tower - Burj Khalifa Blvd - Business Bay - Dubai - United Arab Emirates","https://axisrealestate.ae/",4.7,99
"Next Level Real Estate - Award Winning Real Estate Agency in Dubai","04 454 2828","Opal Tower - 1505 - Burj Khalifa Blvd - Business Bay - Dubai - United Arab Emirates","https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business",4.6,129
"Magus Real Estate Brokers LLC","04 303 9700","Standard Chartered Tower - Emaar Square - Downtown Office 6C - Dubai - United Arab Emirates","https://magusproperties.ae/",4.9,44
"Raine & Horne Dubai","04 366 3200","Anantara Downtown Business Tower - 1904 - Marasi Dr - Business Bay - Dubai - United Arab Emirates","http://www.rhdubai.ae/",4.7,214
"In Dubai Real Estate - Real Estate Agency In Dubai","052 245 9998","Standard Chartered Tower - Level 5 Emaar Square - Downtown Dubai - Dubai - United Arab Emirates","",5,2
"Estatly Luxe Real Estate LLC","054 498 4985","Opal Tower - Business Bay - Dubai - United Arab Emirates","https://estatly.ae/",5,101
"Tribeca Real Estate LLC","055 227 1845","Address Dubai Mall Office 406, Level M - Dubai - United Arab Emirates","http://www.tribecadubai.com/",4.8,44
"Houzon Real Estate","04 452 3345","Office 802, The Exchange Tower - Al Mustaqbal St - Business Bay - Dubai - United Arab Emirates","https://houzon.com/",4.9,174
"FIDU Properties","800 299","4th Floor , Office 404 - Dubai - United Arab Emirates","https://www.fidudubai.com/",4.5,223
"Dynasty Real Estate","04 584 6450","Lake Central Tower Office 1104 - Business Bay - Dubai - United Arab Emirates","http://www.dynastyrealestate.ae/",5,80
"Seven Luxury Real Estate","04 421 7770","Boulevard Plaza Tower 1 Office 2003 - Dubai - United Arab Emirates","https://sevenluxuryrealestate.com/home-2/",4.6,22
"Best Town Realty","058 552 3700","The Regal Tower - Office No. 1305 - Business Bay - Dubai - United Arab Emirates","http://bestownrealty.ae/",5,86
"Emaar Sales Center - Downtown Dubai - Emaar","800 36227","57RG+WX7 - Burj Khalifa - Dubai - United Arab Emirates","https://properties.emaar.com/en/?utm_source=Google&utm_medium=localsearch&utm_campaign=LocalSearch",4.4,330
"Elan Real Estate","052 510 1064","Westburry Office Tower - 806 Marasi Dr - Business Bay - Dubai - United Arab Emirates","https://elanrealestate.ae/",4.9,146
"Homes 4 Life Real Estate - Town Square Dubai Office","056 818 8620","Al Yalayis 2 - Dubai - United Arab Emirates","https://homes4life.ae/",4.8,875
"Bay View Real Estate","04 220 5546","City Tower 2 - 4th Floor, Office - 401 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates","https://www.bvdubai.com/",4.8,50
"Provident Real Estate","04 323 3609","Marina Plaza - 1802 Al Marsa St - Marsa Dubai - Dubai Marina - Dubai - United Arab Emirates","https://www.providentestate.com/",4.7,506
"Imperial Homes Real Estate Brokers","04 427 4076","The Metropolis Tower - Suite 1713 - Business Bay - Dubai - United Arab Emirates","http://www.imperialhomesdubai.com/",4.7,58
"Dubai Immo / Elysee Vendome Real Estate LLC","056 367 2667","Tower Plaza Hotel - Dubai - United Arab Emirates","http://dubai-immo.com/",4.8,49
