name,phone,address,website,rating,user_ratings_total
"Ezogelin Gayrimenkul A.Ş","444 6 127","Osmangazi, Ahmet Şireci Blv No: 2/B, Şehitkamil","https://www.ezogelinemlak.com/",4.9,215
"ERGÖK GAYRİMENKUL","0532 151 67 98","Karataş, Şht. Binbaşı Arslan Kulaksız Blv No:18, Şahinbey","http://ergokgayrimenkul.sahibinden.com/",5,84
"Ezogelin Gayrimenkul Akkent Şube","444 4 396","Akkent, 400. Cd. gunsev 1 sitesi B blok no:29, Şahinbey","https://www.ezogelingayrimenkulakkent.com/",4.9,314
"United Realtors Inc.","(0342) 320 06 66","Batıkent Mah 15 Nolu Sokak, Kürşat Tüzmen Blv. No: 2/A, Şehitkamil","https://birlesmisemlakcilargaziantep.sahibinden.com/",3.9,31
"ÇAKICI EMLAK & Danışmanlık ( Güvenin Adresi)","0543 645 34 10","ÇAKICI Emlak Danışmanlık, Değirmiçem, Ömer Köylüoğlu Cd. No:21/A, Şehitkamil","http://www.cakiciemlakofisi.com.tr/",5,12
"Duru Emlak ( Nadir Duru )","(0342) 321 24 84","Pancarlı, Gazi Ali Düşün Cd. No:21/A, Şehitkamil","http://duruemlak27.sahibinden.com/",4.8,16
"KUZEY EMLAK GAZİANTEP","0505 561 60 16","Kavaklık, Kavaklık Cd. ÖZKAN APARTMANI NO:2/A, Şahinbey","",4.7,34
"KAHRIMAN EMLAK OFİSİ","(0342) 339 29 29","Öğretmenevleri, Kahramanlar Sk. 13A, Şahinbey","",4.8,21
"GAZİANTEP DURU EMLAK","0532 582 89 23","BATIKENT MAH 09071 NOLU CAD NO 38 YÜKSEK BİNA CERGİBOZANLAR MARKET İLE ALTIN, Şehitkamil","",4.8,6
"Gaziantep Emlak - Serkan Özalkan Gayrimenkul","(0342) 341 52 52","Batıkent, Adnan İnanıcı Cd. No: 7/A, Şehitkamil","",5,7
"GİZA EMLAK VE İNŞAAT","0539 797 25 95","Bülbülzade, Yeşilvadi Blv No:105 D:J, Şahinbey","https://gizaemlak.sahibinden.com/",4.7,50
"AĞA ÇELİK EMLAK OFİSİ","0555 262 26 12","Konak, trafik denetleme şube karşısı, Şahinbey","",5,1
"Serkan Güçlüsoy Gayrimenkul","(0342) 322 27 20","Atatürk Vali Süleyman Kamçı Caddesi. Erdem Apt. altı, Şehitkamil","https://www.serkanguclusoy.com/",4.8,114
"Hekimoglu Emlak","(0342) 220 98 45","Alleben, Karacaoğlan Cd. No:9, Şahinbey","http://www.hekimogluemlak.net/",4.1,32
"Ergünşah Emlak Ofisi","0546 812 51 08","özel uygar dershanesi çaprazı","",5,2
"Efekan Emlak","0507 972 23 66","Akkent, 134002 nolu cadde no 1/ED, Şahinbey","https://efekanemlak.sahibinden.com/",5,7
"HEDEF 27 EMLAK","0543 543 81 71","Güneykent, Şahinbey","",4.3,21
"BOZGEYİK EMLAK","0545 545 92 96","Akkent Mh. Şehit Binbaşı Arslan Kulaksız Blv. OSKA Gül Sitesi A Blok No: 76/AC, Şahinbey","",4.8,4
"Özşahin Emlak Müşavirliği","(0342) 336 30 60","Kavaklık, Memik Elbistanlı Sk. No:8 D:A, Şahinbey","https://ozsahinemlakgaziantep.sahibinden.com/",4.5,21
"Muhtar Emlak","","Pancarlı, 22024. Sk., Şehitkamil","",5,1
"Gülenler Emlak","(0342) 339 03 03","Öğretmenevleri, Günaydın Sk. No:13, Şahinbey","",4.3,6
"AK EMLAK MÜŞAVİRLİĞİ","0533 235 23 44","23 Nisan, Üniversite Blv. 214/B, Şahinbey","",5,1
"Deha Emlak","(0342) 338 60 10","Gaziantep 15 temmuz Mah, 15 Temmuz, Abdulkadir Aksu Blv. No:128, Şehitkamil","",4,25
"Emre Emlak","0530 202 71 72","Sarıgüllük, Arıllı Mehmet Ali Çavuş Cd. no:28/D, Şehitkamil","https://emreemlak27.sahibinden.com/",4.4,5
"BÜKLER EMLAK OFİSİ","(0342) 344 86 35","Osmangazi, Ahmet Şireci Blv NO:20/H, Şehitkamil","",4,4
"Işıklar Emlak","(0342) 339 60 23","Binevler, Üniversite Blv. No:142 D:B, Şahinbey","",5,6
"Emir EMLAK VE GAYRİMENKUL DANIŞMALIĞI","0534 938 10 60","Mimar Sinan, Şahinbey","https://www.facebook.com/emir.mikail27?mibextid=ZbWKwL",5,15
"Duru Emlak","(0342) 341 35 00","Atatürk, Hasan Celal Güzel Cd., Şehitkamil","https://duruemlak.sahibinden.com/",4.1,16
"Vizyon Gayrimenkul","","Ertuğrulgazi, Şahinbey","",4.4,25
"AKBULUT EMLAK OFİSİ","0532 598 73 56","Karataş, 103404 Nolu Cad. Günko SİTESİ B/BLOK altı no 5, Şahinbey","",4.2,5
"Kurtulus emlak","0505 253 35 80","Yeditepe, 85203 Nolu Sk No:3, Şahinbey","https://www.emlakbuluyoruz.com/kurtulus-emlak",4.7,6
"Yuvam Emlak","","Mahallesi, 23 Nisan, Yavuz Sultan Selim Cd. No:179, Şahinbey","",5,3
"Sever Emlak Bürosu","0537 403 53 77","Bülbülzade, Su Yolu Cd. 84 C, Şahinbey","http://severemlak.sahibinden.com/",5,1
"EMLAK DİYARI/GAZİANTEP","0531 790 14 27","Ertuğrulgazi, Su Yolu Cd. 193C, Şahinbey","http://emlakdiyarigaziantepsahibinden.com/",5,4
"PRESTIJ EMLAK","0541 764 26 56","Kavaklık, Mehmetçik Sk. No:36, Şahinbey","",4.2,6
"3 Bay Gayrimenkul","(0342) 341 66 66","15 Temmuz Mah. Alparslan Türkeş Cad. No:112E, Şehitkamil","http://emlak.3bay.com.tr/",4.7,146
"Exper Emlak","(0342) 341 43 34","Batıkent Mahallesi Ali İhsan Göğüş Caddesi Senayıldız Apartmanı No:115, Şehitkamil","",4.5,4
"Tarih Emlak Gayrimenkul ve İnşaat","(0342) 503 07 30","75. Yıl, Şahinbey","",4.2,13
"Gürkan Gayrimenkul ve İnşaat","0532 491 18 03","Konak Şehit Polis Üstğm. Mehmet Karakuzulu Caddesi no:19/b, Konak, Şht. Polis Üstğm. Mehmet Karakuzulu Cd. no 19, Şahinbey","",4.6,16
"Ezgi Emlak","0532 599 93 42","23 Nisan, Üniversite Blv. No:229/C, Şahinbey","https://ezgiemlakgaziantep.sahibinden.com/",4.2,5
"Ugur Emlak Ofisi","(0342) 336 54 62","Sarıgüllük, Ömer Asım Aksoy Cd. 13/B, Şahinbey","",5,1
"Tatar Emlak","0544 621 32 82","Şenyurt, Yasaklı Sk. no 39/a, Şahinbey","",5,3
"Hizmet Emlak","0554 804 69 61","Erdoğan apartmanı, Pancarlı, 58101 nolu sok altı no :7/B, Şehitkamil","",4.7,18
"Çalışkan Emlak Müşavirliği","0530 159 99 24","GAZİ MAHALLESİ ALİ NADİ ÜNLER BULVARI İREM APT. ALTI NO:39/B, Şehitkamil","",4,2
"BUMERANG EMLAK","0532 503 49 22","Akkent Mahhalesi 400 No'lu Cadde No:69, D:E, Şahinbey","https://bumerangemlak.sahibinden.com/",4.1,23
"AKBULUT EMLAK OFİSİ","","Karataş, 103404 Nolu Cad. 6 B, Şahinbey","",5,1
"Ozmekan Emlak Burosu","(0342) 360 47 77","60. Yıl, Yavuz Sultan Selim Cd. No:140/B, Şehitkamil","",5,2
"Öztürk Emlak Ofisi","0535 200 51 61","Fidanlık Abdulkadir Aksu Bulvarı No: 33/ B ,Binevler, Şahinbey, Fidanlık, Abdulkadir Aksu Blv. No:33/B, Şahinbey","http://www.ozturkemlak.com.tr/",4.4,16
"HANELER EMLAK","0538 458 11 08","Karataş, 103404 Nolu Cad. No:26, Şahinbey","",4.4,5
"YILGIN EMLAK","","Deniz, Yavuz Sultan Selim Cd., Şahinbey","",3,2
"Göksan Gayrimenkul","0507 403 82 52","Gazi mahallesi battal bey caddesi 24010, nolu sokak, Şehitkamil","",5,6
"Uğurlu Emlak","0535 074 93 77","Yeditepe, 205 nolu sokak no 101, Şahinbey","https://ugurluemlak27.sahibinden.com/",4.6,16
"Ayasofya Emlak","0505 128 89 99","23 Nisan, 82068. Sk. 3C, Şahinbey","",3.9,7
"Uga Emlak & Danışmanlık","(0342) 344 93 13","75. Yıl, Yeşilvadi Blv No:348 D:A, Şahinbey","https://ugaemlak.sahibinden.com/",5,7
"Ideal Emlak","","Yeditepe, Şahinbey","",4.5,14
"ÖZBAĞLARBAŞI EMLAK MÜŞAVİRLĞİ","0544 593 93 43","AKKENT MAH 13024 NOLU CADDE GÜNSEV 1 SİTESİ C BLOK NO 1/C/G AKKENT MAH 13024 NOLU CADDE GÜNSEV 1 SİTESİ C BLOK NO 1/C/G AKKENT MAH 13024 NOLU CADDE GÜNSEV 1 SİTESİ C BLOK NO 1/C, D:G, Şahinbey","",5,2
"Emek Emlak","(0342) 322 37 77",":, Pancarlı, Süheyla Tahaoğlu Sk. No:24/A, Şehitkamil","http://www.emekemlakgaziantep.com/",4.8,26
"Sarıgelin Gayrimenkul","444 2 790","Binevler, Şht. Emre Bakırcı Cd. No:33, Şahinbey","http://www.sarigelingayrimenkul.com.tr/",3.8,191
"Ihlas Emlak Ofisi","","Batıkent, 9074. Cd. No:14, Şehitkamil","",5,1
"EVKUR EMLAK İBRAHİMLİ","(0342) 341 50 50","İbrahimli, Atatürk, Hasan Celal Güzel Cd. no : 85/B, Şehitkamil","",4.8,5
"SERVET Gayrimenkul - Gaziantep Emlakçı","0533 235 23 96","Belkız, 8019. Cd. No:19/D, Şehitkamil","https://servetgayrimenkulgaziantep.sahibinden.com/",5,12
"ÖZKINACI EMLAK OFİSİ","0541 631 29 84","belkıs mh, ahmet zilan bulv no:45/AC, Şehitkamil","",5,1
"Nisa Emlak ofisi","0536 204 89 45","8 Şubat, Nolu Caddesi No:47, Şehitkamil","",5,1
"Gültaç Emlak & Gayrimenkul","0532 466 79 18","Seyrantepe, 65045. Sk., Şehitkamil","",5,61
