name,phone,address,website,rating,user_ratings_total
"MNY EMLAK","(0232) 347 44 95","Manavkuyu, 249/2. Sk. NO:8 D:1N, Bayraklı","http://www.mnyemlak.com.tr/",4.9,106
"Ayyuce Emlak","0542 606 58 83","Kazımdirik, 232. Sk. 10/A, Bornova","",4.9,59
"Finalim Emlak","0535 772 69 19","Mansuroğlu, 227. Sk. 3 A, Bayraklı","",4.9,34
"Eken Emlak","0537 959 25 00","Mansuroğlu, 267/1. Sk. No:2 D:E, Bayraklı","https://www.ekenemlakizmir.com/",4.9,41
"SERENAY EMLAK","0536 326 87 94","Manavkuyu, 250. Sk. No 5/D, Bayraklı","",4.9,78
"Ortaks Emlak","0534 633 68 72","Erzene, 10. Sk. 10/G, Bornova","",5,3
"HAN GAYRİMENKUL","0555 305 08 25","Kazımdirik, 220. Sk. No: 1/A, Bornova","",5,119
"BORNOVA MERKEZ EMLAK","0553 638 48 41","FEVZİ ÇAKMAK CADDESİ TÜREGÜN İŞ MERKEZİ NO2/103 BORNOVA İZMİR Bornova Hükümet Konağı Karşısı Can kuruyemiş üzeri, Bornova","",5,11
"ALPA EMLAK","0505 293 16 98","No:, Manavkuyu, 274/1. Sk. 1 A, Bayraklı/Bornova/Bayraklı","",4.9,11
"EMLAKSİSTEM","(0232) 388 04 04","Erzene, Türkeli Cd. No:3 D:C, Bornova","http://www.emlaksistem.net/",4.7,16
"HÜR EMLAK","0532 155 16 74","Ergene, 456. Sk. NO:35/C, Bornova","",4.9,28
"Zengin Emlak","0537 975 48 34","Erzene, 10. Sk. No:10/D, Bornova","",5,6
"Remax Bayraklı Hamdiye Şataflı Gayrimenkul Danışmanı /Remax Bornova Hamdiye Şataflı EMLAK Danışmanı (RE/MAX)","0553 972 09 16","Adalet, 1645/12. Sk. NO:23A, Bayraklı","",5,30
"Filiz Emlak","0535 843 49 45","Erzene mahallesi 61 sokak, Zeytin sitesi no:21, Bornova","",4.5,43
"Taşkın Emlak Gayrimenkul","0507 701 55 15","Atatürk, 858/3. Sk. No:1/A, Bornova","http://taskinemlak.com/",4.8,6
"Çözüm Emlak","0532 440 54 01","İnönü, Barbaros Cad. No:378 Kapı, No:1/A, K.Giriş, Bornova","",5,4
"Elit Bornova Emlak","0506 727 84 08","Ergene, 2. Sk. No:41, Bornova","",5,2
"Koyuncu Emlak","0532 424 77 90","Kazımdirik, 156. Sk. 5/A, Bornova","",4.3,30
"Emlak Buraya","0533 686 02 76","DAP İZMİR B BLOK, Barbaros, 5301/2 Sok No:4/1 B Blok Ofis:100, Bornova","http://emlakburaya.com/",5,12
"Güler emlak","0532 515 38 64","Ergene, 550. Sk. 10 /A, Bornova","https://www.izmirguleremlak.com/",4.7,11
"Özsarı Emlak Evka 4 Şubesi","(0232) 351 21 21","Evka 4, 1030. Sk. No:3, Bornova","http://www.ozsariemlak.com.tr/",4.3,9
