name,phone,address,website,rating,user_ratings_total
"Hotblack Desiato Estate Agent Camden","020 7482 2894","67 Parkway, London NW1 7PP, United Kingdom","https://hotblackdesiato.co.uk/camden-estate-agents/",4.6,90
"Marsh & Parsons Camden and Tufnell Park Estate Agents","020 7244 2200","27 Parkway, London NW1 7PN, United Kingdom","https://www.marshandparsons.co.uk/contact-us/branches/camden-tufnell-park-estate-agents/",4.8,421
"Camden Properties","020 7267 7110","247b Camden High St, London NW1 7BU, United Kingdom","http://www.camdenproperties.co.uk/",4.6,5
"Chestertons Camden Estate Agents","020 7267 3574","99-101 Parkway, London NW1 7PP, United Kingdom","https://www.chestertons.co.uk/estate-agents/camden",4.5,166
"Foxtons Camden Estate Agents","020 7424 6000","120 Parkway, London NW1 7AN, United Kingdom","https://www.foxtons.co.uk/contact/foxtons_camden_estate_agents.html?utm_campaign=Foxtons+Camden+Estate+Agents&utm_medium=google_gmb&utm_source=Localistico_business_listing",4.4,380
"Savills Primrose Hill Estate Agents","020 3428 2900","79 Regent's Park Rd, London NW1 8UY, United Kingdom","https://www.savills.co.uk/estate-agents/savills-primrose-hill.aspx?utm_source=google&utm_campaign=local&utm_medium=primrosehill",4.8,133
"House Collective","020 7099 6699","31 Oval Rd, London NW1, United Kingdom","http://housecollective.com/",5,45
"Martin and Co - Estate and lettings Agent - Camden NW1","020 7387 1791","72 Crowndale Rd, London NW1 1TP, United Kingdom","https://www.martinco.com/estate-agents-and-letting-agents/branch/camden/?utm_source=google&utm_medium=local&utm_campaign=gmb-camden-website",4.8,77
"Goldschmidt & Howland Camden","020 7043 4433","114-118 Parkway, London NW1 7AN, United Kingdom","https://g-h.co.uk/",4.9,144
"Bentley & Co - Estate Agents","020 7424 9944","63 Camden Rd, London NW1 9EU, United Kingdom","http://www.bentleyandcoltd.co.uk/",4.4,57
"Rochester Place Estate Agents","020 7284 4747","161 Kentish Town Rd, London NW1 8PD, United Kingdom","http://www.rochesterplace.co.uk/",4.7,321
"Hunters Estate & Letting Agents Camden & Kentish Town","020 7916 0313","86 Camden Rd, London NW1 9EA, United Kingdom","https://www.hunters.com/office/camden?utm_source=google&utm_medium=local",3.9,44
"Portico Letting Agents in Camden","020 7482 1060","3 Parkway, London NW1 7PG, United Kingdom","https://www.portico.com/our-offices/letting-agents-in-camden/?utm_source=localmaps&utm_medium=gbp&utm_campaign=gmb_camden",4.4,272
"My City Nest","020 7148 0322","Oasis Serviced Offices, 85-87 Bayham St, London NW1 0AG, United Kingdom","http://www.mycitynest.com/",4.9,113
"Oceanwide Properties - UK Office","020 7424 7892","87 Bayham St, London NW1 0AG, United Kingdom","http://www.oceanwideproperties.co.uk/",5,15
"Camden Bus Estate Agents","020 7485 7485","27A Parkway, London NW1 7PN, United Kingdom","http://www.camdenbus.com/",4.7,66
"John D Wood & Co. Estate Agents Primrose Hill","020 3151 9463","166 Regent's Park Rd, London NW1 8XN, United Kingdom","https://www.johndwood.co.uk/office/forsaleoffice/primrose-hill/765/?referrer=GooglePlaces&utm_source=gmb&y_source=1_MzU2MDY2NC03MTUtbG9jYXRpb24uZ29vZ2xlX3dlYnNpdGVfb3ZlcnJpZGU%3D",4.6,100
"LONDON CADDE","","373 Bağdat Caddesi Kat:1, D:4, 34724, Caddebostan, Kadıköy/İstanbul, Türkiye","",4.4,9
"Knight Frank Belsize Park Estate Agents","020 3815 3350","2 England's Ln, Belsize Park, London NW3 4TG, United Kingdom","https://www.knightfrank.co.uk/offices/belsize-park-estate-agents?utm_source=gmb&utm_medium=organic&utm_campaign=yext_office_listing&utm_content=belsize_park_estate_agents_listing&y_source=1_MTEwNjU3NzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",4.9,184
"Regent's Park residential","020 7267 4187","9 Parkway, London NW1 7PG, United Kingdom","http://regentsparkresidential.com/",4.8,134
"Olivers Town Estate Agents","020 7284 1222","189 Kentish Town Rd, London NW5 2JU, United Kingdom","http://www.oliverstown.com/",4.6,496
"Camden Goods Yard Marketing Suite","020 3936 9072","Chalk Farm Rd, London NW1 8EH, United Kingdom","https://www.berkeleygroup.co.uk/developments/london/camden/camden-goods-yard?utm_source=mybusiness&utm_medium=organic&utm_campaign=GMB",3.5,4
"Black Katz","020 7284 3111","69 Parkway, London NW1 7PP, United Kingdom","http://www.blackkatz.com/west-central_11o.htm",3.6,141
"Primden Group","020 7459 4431","349 Royal College St, London NW1 9QS, United Kingdom","http://www.primdengroup.com/",4.7,26
"Stone London","020 7043 8888","2nd Floor, 33 Gresse St, London W1T 1QU, United Kingdom","https://stone.london/",4.7,258
"Michael Charles","020 7428 0520","56 Parkway, London NW1 7AH, United Kingdom","http://www.michaelcharles.co.uk/",4.4,48
"Paul Lee & Company Lettings Agent in Primrose Hill","020 7722 7780","49 Chalcot Rd, London NW1 8LS, United Kingdom","http://www.paulleeco.com/",5,28
"Huddletons","020 7205 4411","81 Parkway, London NW1 7PP, United Kingdom","http://www.huddletons.com/",3.7,57
"Chestertons Kentish Town Estate Agents","020 7267 1010","225 Kentish Town Rd, London NW5 2JU, United Kingdom","https://www.chestertons.co.uk/estate-agents/kentish-town",4.6,163
"Red Property Partnership","020 7485 1332","36 Gloucester Ave., London NW1 7BB, United Kingdom","http://www.redpropertypartnership.co.uk/",4.7,23
"Campden Estates Ltd","020 7349 7071","132 Lots Rd, London SW10 0RJ, United Kingdom","https://campdenestates.co.uk/",5,5
"Property Capture","07949 732585","Matter Building, 140-146 Camden St, London NW1 9PF, United Kingdom","http://www.propertycapture.co.uk/",5,63
"Kinleigh Folkard & Hayward Belsize Park Estate & Lettings Agents","020 3792 1001","38 England's Ln, Belsize Park, London NW3 4UE, United Kingdom","https://www.kfh.co.uk/branches/belsize-park",4.8,363
"Kaden Properties","020 3383 0150","4 Sinclair House, Hastings Street, London WC1H 9PZ, United Kingdom","https://kadenproperties.co.uk/",4.8,225
"Maiden Lane Estate","","Rosebank Walk, London NW1 9YA, United Kingdom","",5,2
"Christo & Co.","020 7482 1203","66-70 Parkway, London NW1 7AH, United Kingdom","https://www.christo.co.uk/",3.5,31
"Mercier Gray Property Consultants","020 7781 8300","140 Gloucester Ave., London NW1 8JA, United Kingdom","http://www.merciergray.com/",5,11
"Salter Rex Estate Agents","020 7482 4488","Crown House, 265-267 Kentish Town Rd, London NW5 2TP, United Kingdom","http://www.salter-rex.co.uk/",3.5,75
"Work.Life Camden - North London Office Space & Coworking","020 3841 0804","13 Hawley Cres, London NW1 8NP, United Kingdom","https://work.life/office-space/london/camden/?utm_source=local&utm_medium=organic&utm_campaign=gmb",4.5,101
"Saffron","020 7424 9500","81 Parkway, London NW1 7PP, United Kingdom","http://www.saffroninternational.com/",2.2,43
"Jeremy Bass Estate Agents","020 7722 8686","50 Chalcot Rd, London NW1 8LS, United Kingdom","http://www.jeremybass.co.uk/","",""
"SPACES Camden","020 3038 2626","Spaces Camden, 140 Camden St, London NW1 9PF, United Kingdom","https://www.spacesworks.com/london/camden/",5,16
"Luxury Apartment Camden Town","07588 917273","30 Jeffreys St, London NW1 9PR, United Kingdom","",3,2
"Phillips Harrod","020 7123 4152","87 Bayham St, London NW1 0AG, United Kingdom","http://www.phillipsharrod.com/",4.5,8
"McHugh & Co","020 7485 0112","71 Parkway, London NW1 7EU, United Kingdom","http://mchughandco.com/",4.3,243
"Ascent RE","020 7101 3385","The Atrium, Camden Stables Market, Chalk Farm, London NW1 8AH, United Kingdom","http://ascentre.co.uk/","",""
"Rue Living Ltd","020 4541 8484","85, 87 Bayham St, London NW1 0AG, United Kingdom","http://www.rueliving.co.uk/",4.1,9
"Hadleigh Residential","020 7722 9799","19 Belsize Grove, Belsize Park, London NW3 4TX, United Kingdom","https://www.hadleigh.co.uk/",4.5,78
"Verdica Camden","020 3745 1217","81 Crogsland Rd, Chalk Farm, London NW1 8RF, United Kingdom","https://www.countrysidehomes.com/",3,4
"Carter & Co International Estate Agents","020 3582 5440","21 Pratt St., London NW1 0BG, United Kingdom","",1.4,11
"JBrown Camden Estate Agents","020 3981 7171","61-63 Rochester Pl, London NW1 9JU, United Kingdom","https://www.jbrown.com/","",""
